objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237648720142401611,146.71421,-1.0413043,16.91713,15.3146,14.55245,14.14041,13.83297,18.85211,17.23538,16.46962,15.94119,15.61102,0.02122228,1.602523,0.7621517,0.4120455,0.3074389,GALAXY
1237650795146510627,146.74413,-0.65219064,20.97757,18.85416,17.52073,17.00673,16.65681,21.98777,20.03968,18.74212,18.23019,17.88256,0.2037833,2.123409,1.333426,0.5139999,0.3499222,GALAXY
1237650795146445031,146.62857,-0.76513683,19.18432,17.34647,16.50649,16.07855,15.75247,20.57547,18.89972,17.98854,17.59275,17.24012,0.06465632,1.837856,0.8399773,0.4279366,0.3260822,GALAXY
1237648720142401670,146.63167,-0.98827781,19.26245,18.15352,17.72428,17.43797,17.35491,20.72908,19.75962,19.46987,19.05719,18.96583,0.05265425,1.108932,0.4292355,0.2863102,0.0830574,GALAXY
1237648720142532891,146.91945,-0.99049175,20.18201,18.45391,17.33205,16.8984,16.59294,22.42488,20.3728,19.02804,18.64363,18.23689,0.2138606,1.728102,1.121861,0.4336472,0.3054676,GALAXY
1237650795146510903,146.76339,-0.81043316,25.0821,21.21467,19.49395,18.71828,18.2391,23.96231,21.78186,20.12509,19.37653,18.86887,0.4482199,3.86743,1.720728,0.775671,0.4791718,GALAXY
1237648720142401774,146.62282,-0.95138526,21.9905,20.18502,18.41305,17.86762,17.4808,22.98993,21.18999,19.48579,18.8529,18.47766,0.3711277,1.805481,1.771976,0.5454273,0.3868141,GALAXY
1237650795146576091,146.9341,-0.67040397,19.59875,17.7144,16.65466,16.21713,15.83409,20.66264,18.93004,17.87761,17.50394,17.09039,0.1212705,1.884356,1.05974,0.4375248,0.3830471,GALAXY
1237650795146641532,146.9635,-0.75935173,20.00916,18.2669,17.44814,17.0816,16.8143,20.89771,19.18581,18.37049,18.0436,17.77532,0.09708638,1.74226,0.8187618,0.3665371,0.2673016,GALAXY
1237650795146576030,146.85983,-0.80890165,20.53679,18.46119,17.18082,16.61607,16.14976,22.06255,20.05498,18.69152,18.13997,17.61721,0.1265899,2.075592,1.280371,0.5647583,0.4663067,GALAXY
1237650795146444862,146.59272,-0.76025604,18.75872,17.37204,16.80558,16.45321,16.25484,20.26806,19.03768,18.3483,18.06359,17.80865,0.06495924,1.386681,0.5664616,0.3523674,0.1983681,GALAXY
1237650795146575935,146.8577,-0.66285236,19.55604,18.06373,17.42464,17.06781,17.04945,21.90743,20.69305,20.0004,19.71161,19.55234,0.08429205,1.49231,0.6390896,0.3568249,0.01835823,GALAXY
1237651800158896649,146.72794,-0.55687994,20.32453,18.16997,17.24904,19.23864,16.3107,21.19881,19.21147,18.28291,20.58557,17.36065,0.08931196,2.154562,0.9209328,-1.989605,2.927944,GALAXY
1237650794609574093,146.60721,-1.240753,18.87852,17.14253,16.25787,15.85993,15.58484,20.63143,18.97588,18.10457,17.6695,17.39189,0.0906017,1.735989,0.884655,0.3979378,0.2750959,GALAXY
1237648720679469274,147.18679,-0.49381256,19.24002,17.42131,16.47397,15.96551,15.5824,21.19324,19.42557,18.38593,17.97255,17.52547,0.09031707,1.818708,0.9473419,0.5084591,0.383112,GALAXY
1237648721216274697,147.02336,-0.16009352,20.05926,18.54537,17.55171,17.11236,16.74929,22.18356,20.67629,19.28433,18.98553,18.61424,0.2156694,1.513893,0.9936562,0.439352,0.3630695,GALAXY
1237650795683512507,146.95607,-0.34230044,20.45287,18.47586,17.30816,16.80804,16.42223,21.48321,19.62264,18.46042,17.99853,17.61207,0.1346802,1.977005,1.167704,0.5001183,0.3858128,GALAXY
1237650795683578031,147.17639,-0.35405684,18.0772,16.97293,16.54083,16.34521,16.17376,20.37463,19.29389,19.03038,18.88988,18.73427,0.006282841,1.104275,0.4320946,0.1956234,0.1714497,GALAXY
1237648721216340148,147.11461,-0.16521837,20.61418,18.64001,17.32523,16.84127,16.46312,21.77158,19.95098,18.6231,18.243,17.88094,0.2040574,1.974173,1.314777,0.4839592,0.3781528,GALAXY
1237650795683578073,147.22569,-0.29262062,19.88781,17.81252,16.93885,16.50875,16.19253,21.63906,19.95502,19.06421,18.61269,18.27361,0.1336352,2.075294,0.8736649,0.4301071,0.3162155,GALAXY
1237648721216405657,147.24805,-0.035723556,20.0083,17.79774,16.8131,16.35178,16.00576,21.12461,19.06897,18.07922,17.67711,17.31267,0.08419658,2.210567,0.9846306,0.4613209,0.3460236,GALAXY
1237648721216274720,146.92403,-0.10514302,23.87711,20.47393,18.66527,18.02328,17.69226,23.87445,21.5465,19.7253,19.22091,18.84746,0.3275724,3.403175,1.808662,0.6419907,0.3310242,GALAXY
